model_class,config_repr,mean_rho,std_rho,mean_mae
xgboost,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5}",0.196494,0.015427,369.167209
xgboost,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 10}",0.210178,0.016905,358.607836
xgboost,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1}",0.151277,0.016806,337.750840
xgboost,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5}",0.193713,0.013917,371.201416
xgboost,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 10}",0.206917,0.016499,358.087015
xgboost,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1}",0.142032,0.014143,336.363956
xgboost,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5}",0.186425,0.016038,380.212670
xgboost,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 10}",0.200174,0.017270,369.107474
xgboost,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 1}",0.137279,0.013681,335.707362
xgboost,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 5}",0.182855,0.016398,383.566543
xgboost,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 10}",0.189981,0.013395,377.260601
xgboost,"{'n_estimators': 800, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 1}",0.176367,0.012719,329.349422
xgboost,"{'n_estimators': 800, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 5}",0.207565,0.016974,353.753970
xgboost,"{'n_estimators': 800, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 10}",0.226275,0.010062,344.089847
xgboost,"{'n_estimators': 800, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1}",0.172465,0.013744,328.615867
xgboost,"{'n_estimators': 800, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 5}",0.205755,0.014545,359.268526
xgboost,"{'n_estimators': 800, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 10}",0.224354,0.010592,348.825971
xgboost,"{'n_estimators': 800, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_weight': 1}",0.165287,0.017438,328.300454
